seed,model,instance_id,draw,method,stability_jaccard
1,rf,80,2,guarded,0.14285714285714285
1,rf,127,2,standard_multibin,0.09090909090909091
1,rf,127,2,guarded,0.0
1,rf,139,2,standard_multibin,0.5
1,rf,139,2,guarded,0.4
1,rf,161,2,standard_multibin,0.1
1,rf,161,2,guarded,0.5
1,rf,184,2,standard_multibin,0.0
1,rf,184,2,guarded,0.0
1,rf,299,2,standard_multibin,0.18181818181818182
1,rf,299,2,guarded,0.16666666666666666
1,rf,323,2,standard_multibin,0.0
1,rf,323,2,guarded,0.0
1,rf,343,2,standard_multibin,0.08333333333333333
1,rf,343,2,guarded,0.14285714285714285
1,rf,347,2,standard_multibin,0.08333333333333333
1,rf,347,2,guarded,0.0
1,rf,351,2,standard_multibin,0.1111111111111111
1,rf,351,2,guarded,0.0
1,rf,435,2,standard_multibin,0.2222222222222222
1,rf,435,2,guarded,0.0
1,rf,446,2,standard_multibin,0.375
1,rf,446,2,guarded,0.3333333333333333
