task,dataset,n_features,n_classes,n_cal,seed,significance,n_neighbors,normalize_guard,regression_mode,threshold_value,explanation_type,n_test_instances,mean_standard_rules_per_instance,mean_guarded_rules_per_instance,guard_retention_rate,fraction_instances_fully_filtered,n_instances_fully_filtered,task_skipped,skip_reason,error
binary,german,27,2,100,0,0.1,5,True,cls,,factual,100,18.35,15.39,0.8631519910263601,0.09,9,False,,
binary,german,27,2,100,0,0.1,5,True,cls,,alternative,100,8.62,18.12,0.759748427672956,0.05,5,False,,
binary,german,27,2,100,0,0.2,5,True,cls,,factual,100,18.35,13.37,0.7022058823529411,0.21,21,False,,
binary,german,27,2,100,0,0.2,5,True,cls,,alternative,100,8.62,16.05,0.6476997578692494,0.09,9,False,,
binary,german,27,2,300,0,0.05,5,True,cls,,factual,100,14.83,14.01,0.9622252747252747,0.02,2,False,,
binary,german,27,2,300,0,0.05,5,True,cls,,alternative,100,6.5,14.96,0.9061175045427013,0.02,2,False,,
binary,german,27,2,300,0,0.1,5,True,cls,,factual,100,14.83,12.8,0.8409986859395532,0.09,9,False,,
binary,german,27,2,300,0,0.1,5,True,cls,,alternative,100,6.5,13.88,0.7668508287292818,0.02,2,False,,
binary,german,27,2,300,0,0.2,5,True,cls,,factual,100,14.83,10.9,0.7440273037542662,0.14,14,False,,
binary,german,27,2,300,0,0.2,5,True,cls,,alternative,100,6.5,11.84,0.591704147926037,0.07,7,False,,
binary,german,27,2,500,0,0.05,5,True,cls,,factual,100,16.0,14.76,0.9647058823529412,0.02,2,False,,
binary,german,27,2,500,0,0.05,5,True,cls,,alternative,100,7.25,15.75,0.8833426808749298,0.01,1,False,,
binary,german,27,2,500,0,0.1,5,True,cls,,factual,100,16.0,13.23,0.8903095558546433,0.06,6,False,,
binary,german,27,2,500,0,0.1,5,True,cls,,alternative,100,7.25,14.29,0.7388831437435367,0.01,1,False,,
binary,german,27,2,500,0,0.2,5,True,cls,,factual,100,16.0,10.77,0.7127729980145598,0.17,17,False,,
binary,german,27,2,500,0,0.2,5,True,cls,,alternative,100,7.25,11.84,0.556390977443609,0.07,7,False,,
binary,german,27,2,100,1,0.05,5,True,cls,,factual,100,15.91,15.13,0.9655392469687301,0.02,2,False,,
binary,german,27,2,100,1,0.05,5,True,cls,,alternative,100,7.19,17.72,0.9110539845758355,0.01,1,False,,
binary,german,27,2,100,1,0.1,5,True,cls,,factual,100,15.91,13.26,0.8313479623824451,0.09,9,False,,
binary,german,27,2,100,1,0.1,5,True,cls,,alternative,100,7.19,15.86,0.7588516746411483,0.03,3,False,,
binary,german,27,2,100,1,0.2,5,True,cls,,factual,100,15.91,10.88,0.6683046683046683,0.19,19,False,,
binary,german,27,2,100,1,0.2,5,True,cls,,alternative,100,7.19,13.12,0.5761967501097935,0.09,9,False,,
binary,german,27,2,300,1,0.05,5,True,cls,,factual,100,15.04,13.79,0.8794642857142857,0.07,7,False,,
binary,german,27,2,300,1,0.05,5,True,cls,,alternative,100,6.75,15.35,0.842943437671609,0.04,4,False,,
binary,german,27,2,300,1,0.1,5,True,cls,,factual,100,15.04,12.24,0.8063241106719368,0.09,9,False,,
binary,german,27,2,300,1,0.1,5,True,cls,,alternative,100,6.75,13.83,0.7092307692307692,0.07,7,False,,
binary,german,27,2,300,1,0.2,5,True,cls,,factual,100,15.04,10.86,0.7278820375335121,0.16,16,False,,
binary,german,27,2,300,1,0.2,5,True,cls,,alternative,100,6.75,12.36,0.5693228926761861,0.09,9,False,,
binary,german,27,2,500,1,0.05,5,True,cls,,factual,100,15.37,13.75,0.8945998698763825,0.07,7,False,,
binary,german,27,2,500,1,0.05,5,True,cls,,alternative,100,7.05,16.07,0.8313502327987584,0.05,5,False,,
binary,german,27,2,500,1,0.1,5,True,cls,,factual,100,15.37,12.39,0.8658280922431866,0.08,8,False,,
binary,german,27,2,500,1,0.1,5,True,cls,,alternative,100,7.05,14.59,0.7155468366846494,0.06,6,False,,
binary,german,27,2,500,1,0.2,5,True,cls,,factual,100,15.37,9.68,0.6322664924885696,0.19,19,False,,
binary,german,27,2,500,1,0.2,5,True,cls,,alternative,100,7.05,11.79,0.5110533159947984,0.09,9,False,,
binary,german,27,2,100,2,0.05,5,True,cls,,factual,100,13.71,13.21,0.942225392296719,0.03,3,False,,
binary,german,27,2,100,2,0.05,5,True,cls,,alternative,100,6.54,14.75,0.9394904458598726,0.01,1,False,,
binary,german,27,2,100,2,0.1,5,True,cls,,factual,100,13.71,12.84,0.9224137931034483,0.04,4,False,,
binary,german,27,2,100,2,0.1,5,True,cls,,alternative,100,6.54,14.35,0.8572281959378734,0.03,3,False,,
binary,german,27,2,100,2,0.2,5,True,cls,,factual,100,13.71,10.64,0.7247956403269755,0.15,15,False,,
binary,german,27,2,100,2,0.2,5,True,cls,,alternative,100,6.54,12.24,0.6110833749375936,0.04,4,False,,
binary,german,27,2,300,2,0.05,5,True,cls,,factual,100,11.31,10.84,0.9304721030042918,0.09,9,False,,
binary,german,27,2,300,2,0.05,5,True,cls,,alternative,100,5.47,14.34,0.9041614123581336,0.08,8,False,,
