arm,strategy,dataset,seed,n_cal_target,n_cal,n_test,epsilon,confidence,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,creditA,42,400,400,138,0.1,0.9,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.07971014492753623,0.8346456692913385,0.7681159420289855,106,127,True
C,experimental.difficulty_normalized,creditA,42,400,400,138,0.1,0.9,0.8623188405797102,0.7933705874365345,0.9150264763338207,True,False,0.11594202898550725,0.8442622950819673,0.7463768115942029,103,122,True
A,builtin.default,creditA,43,50,50,138,0.05,0.95,0.9565217391304348,0.9077694859198381,0.9838795094453181,False,False,0.2028985507246377,0.9454545454545454,0.7536231884057971,104,110,True
C,experimental.difficulty_normalized,creditA,43,50,50,138,0.05,0.95,0.9710144927536232,0.9274496027422555,0.9920471050015823,False,False,0.3695652173913043,0.9540229885057471,0.6014492753623188,83,87,True
A,builtin.default,creditA,43,50,50,138,0.1,0.9,0.8985507246376812,0.835645067189976,0.9434176941613966,True,False,0.0,0.8985507246376812,0.8985507246376812,124,138,True
C,experimental.difficulty_normalized,creditA,43,50,50,138,0.1,0.9,0.8985507246376812,0.835645067189976,0.9434176941613966,True,False,0.043478260869565216,0.9090909090909091,0.8695652173913043,120,132,True
A,builtin.default,creditA,43,100,100,138,0.05,0.95,0.9347826086956522,0.8798078443927781,0.9697472666881133,True,False,0.16666666666666666,0.9217391304347826,0.7681159420289855,106,115,True
C,experimental.difficulty_normalized,creditA,43,100,100,138,0.05,0.95,0.9202898550724637,0.8618529583774823,0.9595374398463353,True,False,0.10869565217391304,0.9105691056910569,0.8115942028985508,112,123,True
A,builtin.default,creditA,43,100,100,138,0.1,0.9,0.927536231884058,0.8707743093020052,0.9647054469356416,False,False,0.13043478260869565,0.9166666666666666,0.7971014492753623,110,120,True
C,experimental.difficulty_normalized,creditA,43,100,100,138,0.1,0.9,0.9130434782608695,0.8530309325471026,0.9542588878502754,False,False,0.07971014492753623,0.905511811023622,0.8333333333333334,115,127,True
A,builtin.default,creditA,43,200,200,138,0.05,0.95,0.9420289855072463,0.8889697733125833,0.9746428256157472,True,False,0.13043478260869565,0.9333333333333333,0.8115942028985508,112,120,True
C,experimental.difficulty_normalized,creditA,43,200,200,138,0.05,0.95,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.13043478260869565,0.9166666666666666,0.7971014492753623,110,120,True
A,builtin.default,creditA,43,200,200,138,0.1,0.9,0.9202898550724637,0.8618529583774823,0.9595374398463353,False,False,0.07246376811594203,0.9140625,0.8478260869565217,117,128,True
C,experimental.difficulty_normalized,creditA,43,200,200,138,0.1,0.9,0.9202898550724637,0.8618529583774823,0.9595374398463353,False,False,0.09420289855072464,0.912,0.8260869565217391,114,125,True
A,builtin.default,creditA,43,400,400,138,0.05,0.95,0.9565217391304348,0.9077694859198381,0.9838795094453181,False,False,0.2246376811594203,0.9439252336448598,0.7318840579710145,101,107,True
C,experimental.difficulty_normalized,creditA,43,400,400,138,0.05,0.95,0.9492753623188406,0.8982810319482651,0.9793656359310434,True,False,0.26811594202898553,0.9306930693069307,0.6811594202898551,94,101,True
A,builtin.default,creditA,43,400,400,138,0.1,0.9,0.9420289855072463,0.8889697733125833,0.9746428256157472,False,False,0.13043478260869565,0.9333333333333333,0.8115942028985508,112,120,True
C,experimental.difficulty_normalized,creditA,43,400,400,138,0.1,0.9,0.9130434782608695,0.8530309325471026,0.9542588878502754,False,False,0.10869565217391304,0.9024390243902439,0.8043478260869565,111,123,True
A,builtin.default,creditA,44,50,50,138,0.05,0.95,0.9202898550724637,0.8618529583774823,0.9595374398463353,True,False,0.15217391304347827,0.905982905982906,0.7681159420289855,106,117,True
C,experimental.difficulty_normalized,creditA,44,50,50,138,0.05,0.95,0.8695652173913043,0.801709807577353,0.9208285683621928,True,True,0.036231884057971016,0.8646616541353384,0.8333333333333334,115,133,True
A,builtin.default,creditA,44,50,50,138,0.1,0.9,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.007246376811594203,0.8540145985401459,0.8478260869565217,117,137,True
C,experimental.difficulty_normalized,creditA,44,50,50,138,0.1,0.9,0.8188405797101449,0.7442970391028174,0.8791980482835207,True,True,0.09420289855072464,0.896,0.8115942028985508,112,125,True
A,builtin.default,creditA,44,100,100,138,0.05,0.95,0.9347826086956522,0.8798078443927781,0.9697472666881133,True,False,0.21014492753623187,0.9174311926605505,0.7246376811594203,100,109,True
C,experimental.difficulty_normalized,creditA,44,100,100,138,0.05,0.95,0.9565217391304348,0.9077694859198381,0.9838795094453181,False,False,0.2608695652173913,0.9411764705882353,0.6956521739130435,96,102,True
A,builtin.default,creditA,44,100,100,138,0.1,0.9,0.8913043478260869,0.8270655092092569,0.9378735516257146,True,False,0.07971014492753623,0.8818897637795275,0.8115942028985508,112,127,True
C,experimental.difficulty_normalized,creditA,44,100,100,138,0.1,0.9,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.10144927536231885,0.8870967741935484,0.7971014492753623,110,124,True
A,builtin.default,creditA,44,200,200,138,0.05,0.95,0.9565217391304348,0.9077694859198381,0.9838795094453181,False,False,0.2753623188405797,0.94,0.6811594202898551,94,100,True
C,experimental.difficulty_normalized,creditA,44,200,200,138,0.05,0.95,0.9202898550724637,0.8618529583774823,0.9595374398463353,True,False,0.26811594202898553,0.8910891089108911,0.6521739130434783,90,101,True
A,builtin.default,creditA,44,200,200,138,0.1,0.9,0.8405797101449275,0.7686429104424255,0.8973130520934876,True,True,0.0,0.8405797101449275,0.8405797101449275,116,138,True
C,experimental.difficulty_normalized,creditA,44,200,200,138,0.1,0.9,0.8260869565217391,0.7523734629400928,0.8852770730454169,True,True,0.043478260869565216,0.8560606060606061,0.8188405797101449,113,132,True
A,builtin.default,creditA,44,400,400,138,0.05,0.95,0.9492753623188406,0.8982810319482651,0.9793656359310434,True,False,0.3695652173913043,0.9195402298850575,0.5797101449275363,80,87,True
C,experimental.difficulty_normalized,creditA,44,400,400,138,0.05,0.95,0.9347826086956522,0.8798078443927781,0.9697472666881133,True,False,0.2753623188405797,0.91,0.6594202898550725,91,100,True
A,builtin.default,creditA,44,400,400,138,0.1,0.9,0.9057971014492754,0.844297824232858,0.9488822616884096,False,False,0.15217391304347827,0.8888888888888888,0.7536231884057971,104,117,True
C,experimental.difficulty_normalized,creditA,44,400,400,138,0.1,0.9,0.8695652173913043,0.801709807577353,0.9208285683621928,True,False,0.057971014492753624,0.8615384615384616,0.8115942028985508,112,130,True
A,builtin.default,creditA,45,50,50,138,0.05,0.95,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.4420289855072464,0.8701298701298701,0.4855072463768116,67,77,True
C,experimental.difficulty_normalized,creditA,45,50,50,138,0.05,0.95,0.9202898550724637,0.8618529583774823,0.9595374398463353,True,False,0.3333333333333333,0.8804347826086957,0.5869565217391305,81,92,True
A,builtin.default,creditA,45,50,50,138,0.1,0.9,0.8260869565217391,0.7523734629400928,0.8852770730454169,True,True,0.028985507246376812,0.8507462686567164,0.8260869565217391,114,134,True
C,experimental.difficulty_normalized,creditA,45,50,50,138,0.1,0.9,0.7753623188405797,0.6965550712879529,0.8419784175424135,True,True,0.13043478260869565,0.8833333333333333,0.7681159420289855,106,120,True
A,builtin.default,creditA,45,100,100,138,0.05,0.95,0.9202898550724637,0.8618529583774823,0.9595374398463353,True,False,0.21014492753623187,0.8990825688073395,0.7101449275362319,98,109,True
C,experimental.difficulty_normalized,creditA,45,100,100,138,0.05,0.95,0.9057971014492754,0.844297824232858,0.9488822616884096,True,True,0.2246376811594203,0.8785046728971962,0.6811594202898551,94,107,True
A,builtin.default,creditA,45,100,100,138,0.1,0.9,0.8695652173913043,0.801709807577353,0.9208285683621928,True,False,0.07246376811594203,0.859375,0.7971014492753623,110,128,True
C,experimental.difficulty_normalized,creditA,45,100,100,138,0.1,0.9,0.8260869565217391,0.7523734629400928,0.8852770730454169,True,True,0.09420289855072464,0.84,0.7608695652173914,105,125,True
