dataset,confidence,epsilon,effective_confidence,threshold_type,threshold_id,threshold_quantile,threshold_lower_quantile,threshold_upper_quantile,effective_threshold,threshold_value,threshold_low,threshold_high,threshold_source,n_cal,n_test,event_prevalence,empirical_event_coverage,coverage_defined,lower_ci,upper_ci,violation,structural_violation,empirical_singleton_error,reject_rate,n_total,n_empty,n_singleton,n_ambiguity,novelty_rate,singleton_rate,ambiguity_rate,reject_rate_from_sets,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
mg,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.43140079364486444,0.43140079364486444,,,call,277,277,0.3176895306859206,0.9638989169675091,True,0.9346125895151642,0.982554800073203,False,False,0.038910505836575876,0.07220216606498195,277,0,257,20,0.0,0.927797833935018,0.07220216606498195,0.07220216606498195,0.9610894941634242,0.8916967509025271,247,257,True
mg,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.5132193071440236,0.5132193071440236,,,call_reinitialized,277,277,0.37184115523465705,0.9458483754512635,True,0.9122570877550268,0.9693785384861329,False,False,0.043795620437956206,0.010830324909747292,277,3,274,0,0.010830324909747292,0.9891696750902527,0.0,0.010830324909747292,0.9562043795620438,0.9458483754512635,262,274,True
mg,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.5132193071440236,0.5132193071440236,,,call,277,277,0.37184115523465705,0.9891696750902527,True,0.9686771953771742,0.9977609334689729,False,False,0.013043478260869565,0.16967509025270758,277,0,230,47,0.0,0.8303249097472925,0.16967509025270758,0.16967509025270758,0.9869565217391304,0.8194945848375451,227,230,True
mg,0.9,0.09999999999999998,0.9,scalar,q0.50,0.5,,,0.6006066418722431,0.6006066418722431,,,call_reinitialized,277,277,0.44404332129963897,0.9530685920577617,True,0.9210828682307348,0.9747776362620592,False,False,0.04868913857677903,0.036101083032490974,277,0,267,10,0.0,0.9638989169675091,0.036101083032490974,0.036101083032490974,0.951310861423221,0.9169675090252708,254,267,True
mg,0.95,0.050000000000000044,0.95,scalar,q0.50,0.5,,,0.6006066418722431,0.6006066418722431,,,call,277,277,0.44404332129963897,0.9783393501805054,True,0.9534525142130408,0.9920104110098895,False,False,0.024390243902439025,0.11191335740072202,277,0,246,31,0.0,0.8880866425992779,0.11191335740072202,0.11191335740072202,0.975609756097561,0.8664259927797834,240,246,True
mg,0.9,0.09999999999999998,0.9,interval,q0.25_q0.75,,0.25,0.75,"(0.36976591831943556, 0.756901351076714)",,0.36976591831943556,0.756901351076714,call_reinitialized,277,277,0.40794223826714804,0.927797833935018,True,0.8906903830629731,0.9553418666971307,False,False,0.08658008658008658,0.16606498194945848,277,0,231,46,0.0,0.8339350180505415,0.16606498194945848,0.16606498194945848,0.9134199134199135,0.7617328519855595,211,231,True
mg,0.95,0.050000000000000044,0.95,interval,q0.25_q0.75,,0.25,0.75,"(0.36976591831943556, 0.756901351076714)",,0.36976591831943556,0.756901351076714,call,277,277,0.40794223826714804,0.9422382671480144,True,0.9078916495235785,0.9666273094042317,True,False,0.07373271889400922,0.21660649819494585,277,0,217,60,0.0,0.7833935018050542,0.21660649819494585,0.21660649819494585,0.9262672811059908,0.7256317689530686,201,217,True
plastic,0.9,0.09999999999999998,0.9,scalar,q0.10,0.1,,,0.0,0.0,,,call_reinitialized,330,330,0.1606060606060606,0.9242424242424242,True,0.8901966829322802,0.9503759885810397,False,False,0.08928571428571429,0.15151515151515152,330,0,280,50,0.0,0.8484848484848485,0.15151515151515152,0.15151515151515152,0.9107142857142857,0.7727272727272727,255,280,True
plastic,0.95,0.050000000000000044,0.95,scalar,q0.10,0.1,,,0.0,0.0,,,call,330,330,0.1606060606060606,0.9666666666666667,True,0.9411412337853858,0.9832449103850768,False,False,0.04700854700854701,0.2909090909090909,330,0,234,96,0.0,0.7090909090909091,0.2909090909090909,0.2909090909090909,0.9529914529914529,0.6757575757575758,223,234,True
plastic,0.9,0.09999999999999998,0.9,scalar,q0.20,0.2,,,0.15999999999999945,0.15999999999999945,,,call_reinitialized,330,330,0.1606060606060606,0.9303030303030303,True,0.897253646885837,0.9553081614580923,False,False,0.08614232209737828,0.19090909090909092,330,0,267,63,0.0,0.8090909090909091,0.19090909090909092,0.19090909090909092,0.9138576779026217,0.7393939393939394,244,267,True
plastic,0.95,0.050000000000000044,0.95,scalar,q0.20,0.2,,,0.15999999999999945,0.15999999999999945,,,call,330,330,0.1606060606060606,0.9696969696969697,True,0.9449790737663003,0.9853748018762926,False,False,0.04310344827586207,0.296969696969697,330,0,232,98,0.0,0.703030303030303,0.296969696969697,0.296969696969697,0.9568965517241379,0.6727272727272727,222,232,True
plastic,0.9,0.09999999999999998,0.9,scalar,q0.30,0.30000000000000004,,,0.2,0.2,,,call_reinitialized,330,330,0.33636363636363636,0.9030303030303031,True,0.8658686955851754,0.9327238882756008,False,False,0.10666666666666667,0.09090909090909091,330,0,300,30,0.0,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.8933333333333333,0.8121212121212121,268,300,True
plastic,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.2,0.2,,,call,330,330,0.33636363636363636,0.9666666666666667,True,0.9411412337853858,0.9832449103850768,False,False,0.047619047619047616,0.3,330,0,231,99,0.0,0.7,0.3,0.3,0.9523809523809523,0.6666666666666666,220,231,True
plastic,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.4,0.4,,,call_reinitialized,330,330,0.4909090909090909,0.9303030303030303,True,0.897253646885837,0.9553081614580923,False,False,0.09163346613545817,0.23939393939393938,330,0,251,79,0.0,0.7606060606060606,0.23939393939393938,0.23939393939393938,0.9083665338645418,0.6909090909090909,228,251,True
plastic,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.4,0.4,,,call,330,330,0.4909090909090909,0.9636363636363636,True,0.9373420395776795,0.9810717456393122,False,False,0.053811659192825115,0.3242424242424242,330,0,223,107,0.0,0.6757575757575758,0.3242424242424242,0.3242424242424242,0.9461883408071748,0.6393939393939394,211,223,True
plastic,0.9,0.09999999999999998,0.9,scalar,q0.50,0.5,,,0.4,0.4,,,call,330,330,0.4909090909090909,0.9303030303030303,True,0.897253646885837,0.9553081614580923,False,False,0.09163346613545817,0.23939393939393938,330,0,251,79,0.0,0.7606060606060606,0.23939393939393938,0.23939393939393938,0.9083665338645418,0.6909090909090909,228,251,True
plastic,0.95,0.050000000000000044,0.95,scalar,q0.50,0.5,,,0.4,0.4,,,call,330,330,0.4909090909090909,0.9636363636363636,True,0.9373420395776795,0.9810717456393122,False,False,0.053811659192825115,0.3242424242424242,330,0,223,107,0.0,0.6757575757575758,0.3242424242424242,0.3242424242424242,0.9461883408071748,0.6393939393939394,211,223,True
plastic,0.9,0.09999999999999998,0.9,interval,q0.25_q0.75,,0.25,0.75,"(0.2, 0.8)",,0.2,0.8,call_reinitialized,330,330,0.4909090909090909,0.9242424242424242,True,0.8901966829322802,0.9503759885810397,False,False,0.22123893805309736,0.6575757575757576,330,0,113,217,0.0,0.3424242424242424,0.6575757575757576,0.6575757575757576,0.7787610619469026,0.26666666666666666,88,113,True
plastic,0.95,0.050000000000000044,0.95,interval,q0.25_q0.75,,0.25,0.75,"(0.2, 0.8)",,0.2,0.8,call,330,330,0.4909090909090909,0.996969696969697,True,0.9832327184601194,0.9999232823126969,False,False,0.125,0.9757575757575757,330,0,8,322,0.0,0.024242424242424242,0.9757575757575757,0.9757575757575757,0.875,0.021212121212121213,7,8,True
quakes,0.9,0.09999999999999998,0.9,scalar,q0.10,0.1,,,0.0,0.0,,,call_reinitialized,436,436,0.2981651376146789,0.9541284403669725,True,0.9300419874852296,0.9717586588927539,False,False,0.3076923076923077,0.8509174311926605,436,0,65,371,0.0,0.14908256880733944,0.8509174311926605,0.8509174311926605,0.6923076923076923,0.10321100917431193,45,65,True
quakes,0.95,0.050000000000000044,0.95,scalar,q0.10,0.1,,,0.0,0.0,,,call,436,436,0.2981651376146789,0.9587155963302753,True,0.9355359823024636,0.9753517366419648,False,False,0.3333333333333333,0.8761467889908257,436,0,54,382,0.0,0.12385321100917432,0.8761467889908257,0.8761467889908257,0.6666666666666666,0.08256880733944955,36,54,True
quakes,0.9,0.09999999999999998,0.9,scalar,q0.20,0.2,,,0.0,0.0,,,call,436,436,0.2981651376146789,0.9541284403669725,True,0.9300419874852296,0.9717586588927539,False,False,0.3076923076923077,0.8509174311926605,436,0,65,371,0.0,0.14908256880733944,0.8509174311926605,0.8509174311926605,0.6923076923076923,0.10321100917431193,45,65,True
quakes,0.95,0.050000000000000044,0.95,scalar,q0.20,0.2,,,0.0,0.0,,,call,436,436,0.2981651376146789,0.9587155963302753,True,0.9355359823024636,0.9753517366419648,False,False,0.3333333333333333,0.8761467889908257,436,0,54,382,0.0,0.12385321100917432,0.8761467889908257,0.8761467889908257,0.6666666666666666,0.08256880733944955,36,54,True
quakes,0.9,0.09999999999999998,0.9,scalar,q0.30,0.30000000000000004,,,0.0,0.0,,,call,436,436,0.2981651376146789,0.9541284403669725,True,0.9300419874852296,0.9717586588927539,False,False,0.3076923076923077,0.8509174311926605,436,0,65,371,0.0,0.14908256880733944,0.8509174311926605,0.8509174311926605,0.6923076923076923,0.10321100917431193,45,65,True
quakes,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.0,0.0,,,call,436,436,0.2981651376146789,0.9587155963302753,True,0.9355359823024636,0.9753517366419648,False,False,0.3333333333333333,0.8761467889908257,436,0,54,382,0.0,0.12385321100917432,0.8761467889908257,0.8761467889908257,0.6666666666666666,0.08256880733944955,36,54,True
quakes,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.09090909090909136,0.09090909090909136,,,call_reinitialized,436,436,0.5252293577981652,0.9105504587155964,True,0.8797489048669667,0.9356193062308242,False,False,0.42857142857142855,0.7912844036697247,436,0,91,345,0.0,0.20871559633027523,0.7912844036697247,0.7912844036697247,0.5714285714285714,0.11926605504587157,52,91,True
quakes,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.09090909090909136,0.09090909090909136,,,call,436,436,0.5252293577981652,0.963302752293578,True,0.94108891086189,0.9788815029786662,False,False,0.41025641025641024,0.9105504587155964,436,0,39,397,0.0,0.08944954128440367,0.9105504587155964,0.9105504587155964,0.5897435897435898,0.052752293577981654,23,39,True
quakes,0.9,0.09999999999999998,0.9,scalar,q0.50,0.5,,,0.09090909090909136,0.09090909090909136,,,call,436,436,0.5252293577981652,0.9105504587155964,True,0.8797489048669667,0.9356193062308242,False,False,0.42857142857142855,0.7912844036697247,436,0,91,345,0.0,0.20871559633027523,0.7912844036697247,0.7912844036697247,0.5714285714285714,0.11926605504587157,52,91,True
quakes,0.95,0.050000000000000044,0.95,scalar,q0.50,0.5,,,0.09090909090909136,0.09090909090909136,,,call,436,436,0.5252293577981652,0.963302752293578,True,0.94108891086189,0.9788815029786662,False,False,0.41025641025641024,0.9105504587155964,436,0,39,397,0.0,0.08944954128440367,0.9105504587155964,0.9105504587155964,0.5897435897435898,0.052752293577981654,23,39,True
quakes,0.9,0.09999999999999998,0.9,interval,q0.25_q0.75,,0.25,0.75,"(0.0, 0.27272727272727243)",,0.0,0.27272727272727243,call_reinitialized,436,436,0.5344036697247706,0.9954128440366973,True,0.9835286022238262,0.9994439905638249,False,False,0.5,0.9908256880733946,436,0,4,432,0.0,0.009174311926605505,0.9908256880733946,0.9908256880733946,0.5,0.0045871559633027525,2,4,True
quakes,0.95,0.050000000000000044,0.95,interval,q0.25_q0.75,,0.25,0.75,"(0.0, 0.27272727272727243)",,0.0,0.27272727272727243,call,436,436,0.5344036697247706,0.9954128440366973,True,0.9835286022238262,0.9994439905638249,False,False,0.5,0.9908256880733946,436,0,4,432,0.0,0.009174311926605505,0.9908256880733946,0.9908256880733946,0.5,0.0045871559633027525,2,4,True
stock,0.9,0.09999999999999998,0.9,scalar,q0.10,0.1,,,0.12392344497607656,0.12392344497607656,,,call_reinitialized,190,190,0.04736842105263158,0.9631578947368421,True,0.9255671688891819,0.9850614701132261,False,False,0.005434782608695652,0.031578947368421054,190,6,184,0,0.031578947368421054,0.968421052631579,0.0,0.031578947368421054,0.9945652173913043,0.9631578947368421,183,184,True
stock,0.95,0.050000000000000044,0.95,scalar,q0.10,0.1,,,0.12392344497607656,0.12392344497607656,,,call,190,190,0.04736842105263158,0.9947368421052631,True,0.9710259320455104,0.999866757256427,False,False,0.005434782608695652,0.031578947368421054,190,0,184,6,0.0,0.968421052631579,0.031578947368421054,0.031578947368421054,0.9945652173913043,0.9631578947368421,183,184,True
stock,0.9,0.09999999999999998,0.9,scalar,q0.20,0.2,,,0.1722488038277512,0.1722488038277512,,,call_reinitialized,190,190,0.09473684210526316,0.9578947368421052,True,0.9187241411576296,0.981649320569404,False,False,0.00546448087431694,0.03684210526315789,190,7,183,0,0.03684210526315789,0.9631578947368421,0.0,0.03684210526315789,0.994535519125683,0.9578947368421052,182,183,True
stock,0.95,0.050000000000000044,0.95,scalar,q0.20,0.2,,,0.1722488038277512,0.1722488038277512,,,call,190,190,0.09473684210526316,0.9789473684210527,True,0.9469767775333816,0.9942347799898275,False,False,0.021164021164021163,0.005263157894736842,190,0,189,1,0.0,0.9947368421052631,0.005263157894736842,0.005263157894736842,0.9788359788359788,0.9736842105263158,185,189,True
stock,0.9,0.09999999999999998,0.9,scalar,q0.30,0.30000000000000004,,,0.23636363636363647,0.23636363636363647,,,call_reinitialized,190,190,0.15789473684210525,0.9210526315789473,True,0.873131447937617,0.9551413515485188,False,False,0.005681818181818182,0.07368421052631578,190,14,176,0,0.07368421052631578,0.9263157894736842,0.0,0.07368421052631578,0.9943181818181818,0.9210526315789473,175,176,True
stock,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.23636363636363647,0.23636363636363647,,,call,190,190,0.15789473684210525,0.9578947368421052,True,0.9187241411576296,0.981649320569404,False,False,0.00546448087431694,0.03684210526315789,190,7,183,0,0.03684210526315789,0.9631578947368421,0.0,0.03684210526315789,0.994535519125683,0.9578947368421052,182,183,True
stock,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.3569377990430622,0.3569377990430622,,,call_reinitialized,190,190,0.26842105263157895,0.8736842105263158,True,0.8179037891845281,0.9173630845953153,True,False,0.011904761904761904,0.11578947368421053,190,22,168,0,0.11578947368421053,0.8842105263157894,0.0,0.11578947368421053,0.9880952380952381,0.8736842105263158,166,168,True
stock,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.3569377990430622,0.3569377990430622,,,call,190,190,0.26842105263157895,0.9631578947368421,True,0.9255671688891819,0.9850614701132261,False,False,0.016129032258064516,0.021052631578947368,190,4,186,0,0.021052631578947368,0.9789473684210527,0.0,0.021052631578947368,0.9838709677419355,0.9631578947368421,183,186,True
stock,0.9,0.09999999999999998,0.9,scalar,q0.50,0.5,,,0.4019138755980861,0.4019138755980861,,,call_reinitialized,190,190,0.37894736842105264,0.9105263157894737,True,0.8606096187227805,0.9470121335171473,False,False,0.04945054945054945,0.042105263157894736,190,8,182,0,0.042105263157894736,0.9578947368421052,0.0,0.042105263157894736,0.9505494505494505,0.9105263157894737,173,182,True
stock,0.95,0.050000000000000044,0.95,scalar,q0.50,0.5,,,0.4019138755980861,0.4019138755980861,,,call,190,190,0.37894736842105264,0.9526315789473684,True,0.9119869762843471,0.9781143712698048,False,False,0.04945054945054945,0.042105263157894736,190,0,182,8,0.0,0.9578947368421052,0.042105263157894736,0.042105263157894736,0.9505494505494505,0.9105263157894737,173,182,True
stock,0.9,0.09999999999999998,0.9,interval,q0.25_q0.75,,0.25,0.75,"(0.21052631578947367, 0.6160287081339713)",,0.21052631578947367,0.6160287081339713,call_reinitialized,190,190,0.5842105263157895,0.8631578947368421,True,0.8059564048857975,0.9086235628078168,True,False,0.029585798816568046,0.11052631578947368,190,21,169,0,0.11052631578947368,0.8894736842105263,0.0,0.11052631578947368,0.9704142011834319,0.8631578947368421,164,169,True
stock,0.95,0.050000000000000044,0.95,interval,q0.25_q0.75,,0.25,0.75,"(0.21052631578947367, 0.6160287081339713)",,0.21052631578947367,0.6160287081339713,call,190,190,0.5842105263157895,0.9263157894736842,True,0.8794601910927229,0.9591325443445295,True,False,0.07368421052631578,0.0,190,0,190,0,0.0,1.0,0.0,0.0,0.9263157894736842,0.9263157894736842,176,190,True
treasury,0.9,0.09999999999999998,0.9,scalar,q0.10,0.1,,,0.0585682074408117,0.0585682074408117,,,call_reinitialized,210,210,0.14285714285714285,0.9,True,0.8512058927064787,0.9370261272457074,False,False,0.0,0.1,210,21,189,0,0.1,0.9,0.0,0.1,1.0,0.9,189,189,True
treasury,0.95,0.050000000000000044,0.95,scalar,q0.10,0.1,,,0.0585682074408117,0.0585682074408117,,,call,210,210,0.14285714285714285,0.9476190476190476,True,0.9082104259807884,0.9735648949095465,True,False,0.005,0.047619047619047616,210,10,200,0,0.047619047619047616,0.9523809523809523,0.0,0.047619047619047616,0.995,0.9476190476190476,199,200,True
treasury,0.9,0.09999999999999998,0.9,scalar,q0.20,0.2,,,0.1295377677564825,0.1295377677564825,,,call_reinitialized,210,210,0.23809523809523808,0.9333333333333333,True,0.8906736768876822,0.9630763353898956,False,False,0.0,0.06666666666666667,210,14,196,0,0.06666666666666667,0.9333333333333333,0.0,0.06666666666666667,1.0,0.9333333333333333,196,196,True
treasury,0.95,0.050000000000000044,0.95,scalar,q0.20,0.2,,,0.1295377677564825,0.1295377677564825,,,call,210,210,0.23809523809523808,0.9571428571428572,True,0.9202053090730401,0.9802185178140981,False,False,0.024271844660194174,0.01904761904761905,210,4,206,0,0.01904761904761905,0.9809523809523809,0.0,0.01904761904761905,0.9757281553398058,0.9571428571428572,201,206,True
treasury,0.9,0.09999999999999998,0.9,scalar,q0.30,0.30000000000000004,,,0.1435738444193912,0.1435738444193912,,,call_reinitialized,210,210,0.3523809523809524,0.9476190476190476,True,0.9082104259807884,0.9735648949095465,False,False,0.024509803921568627,0.02857142857142857,210,6,204,0,0.02857142857142857,0.9714285714285714,0.0,0.02857142857142857,0.9754901960784313,0.9476190476190476,199,204,True
treasury,0.95,0.050000000000000044,0.95,scalar,q0.30,0.30000000000000004,,,0.1435738444193912,0.1435738444193912,,,call,210,210,0.3523809523809524,0.9952380952380953,True,0.973755364269708,0.9998794462767042,False,False,0.0051813471502590676,0.08095238095238096,210,0,193,17,0.0,0.919047619047619,0.08095238095238096,0.08095238095238096,0.9948186528497409,0.9142857142857143,192,193,True
treasury,0.9,0.09999999999999998,0.9,scalar,q0.40,0.4,,,0.16076662908680947,0.16076662908680947,,,call_reinitialized,210,210,0.43333333333333335,0.9285714285714286,True,0.8849255794079696,0.9594732212272542,False,False,0.0,0.07142857142857142,210,15,195,0,0.07142857142857142,0.9285714285714286,0.0,0.07142857142857142,1.0,0.9285714285714286,195,195,True
treasury,0.95,0.050000000000000044,0.95,scalar,q0.40,0.4,,,0.16076662908680947,0.16076662908680947,,,call,210,210,0.43333333333333335,0.9761904761904762,True,0.945314118814825,0.9922249311718575,False,False,0.0048543689320388345,0.01904761904761905,210,4,206,0,0.01904761904761905,0.9809523809523809,0.0,0.01904761904761905,0.9951456310679612,0.9761904761904762,205,206,True
