dataset,epsilon,ncf,n_cal,n_test,n_classes,accepted_top1_accuracy,reject_rate,correct_singleton_rate,error_singleton_rate,ambiguity_rate,novelty_rate,expected_collapse,guarantee_status
steel,0.05,default,388,389,7,0.9276018099547512,0.4318766066838046,0.5681233933161953,0.015424164524421594,0.41645244215938304,0.0,False,empirical
steel,0.05,ensured,388,389,7,0.9282511210762332,0.4267352185089974,0.5732647814910026,0.0,0.4267352185089974,0.0,False,empirical
steel,0.1,default,388,389,7,0.8961538461538462,0.33161953727506427,0.6683804627249358,0.04113110539845758,0.29048843187660667,0.0,False,empirical
steel,0.1,ensured,388,389,7,0.9282511210762332,0.4267352185089974,0.5732647814910026,0.0,0.4267352185089974,0.0,False,empirical
tae,0.05,default,30,31,3,0.5,0.7419354838709677,0.25806451612903225,0.03225806451612903,0.7096774193548387,0.0,False,empirical
tae,0.05,ensured,30,31,3,0.5,0.7419354838709677,0.25806451612903225,0.0,0.7419354838709677,0.0,False,empirical
tae,0.1,default,30,31,3,0.5833333333333334,0.6129032258064516,0.3870967741935484,0.0967741935483871,0.5161290322580645,0.0,False,empirical
tae,0.1,ensured,30,31,3,0.6363636363636364,0.6451612903225806,0.3548387096774194,0.0,0.5483870967741935,0.0967741935483871,False,empirical
user,0.05,default,81,81,5,0.9253731343283582,0.1728395061728395,0.8271604938271605,0.04938271604938271,0.12345679012345678,0.0,False,empirical
user,0.05,ensured,81,81,5,0.9230769230769231,0.19753086419753085,0.8024691358024691,0.0,0.19753086419753085,0.0,False,empirical
user,0.1,default,81,81,5,0.9285714285714286,0.13580246913580246,0.8641975308641975,0.04938271604938271,0.08641975308641975,0.0,False,empirical
user,0.1,ensured,81,81,5,0.9193548387096774,0.2345679012345679,0.7654320987654321,0.0,0.19753086419753085,0.037037037037037035,False,empirical
vehicle,0.05,default,169,170,4,0.9368421052631579,0.4411764705882353,0.5588235294117647,0.052941176470588235,0.38823529411764707,0.0,False,empirical
vehicle,0.05,ensured,169,170,4,0.987012987012987,0.5470588235294118,0.45294117647058824,0.0,0.5117647058823529,0.03529411764705882,False,empirical
vehicle,0.1,default,169,170,4,0.908256880733945,0.3588235294117647,0.6411764705882353,0.12352941176470589,0.23529411764705882,0.0,False,empirical
vehicle,0.1,ensured,169,170,4,0.9846153846153847,0.6176470588235294,0.38235294117647056,0.0,0.5117647058823529,0.10588235294117647,False,empirical
vowel,0.05,default,198,198,11,0.9672131147540983,0.07575757575757576,0.9242424242424242,0.05555555555555555,0.0,0.020202020202020204,False,empirical
vowel,0.05,ensured,198,198,11,1.0,0.20707070707070707,0.7929292929292929,0.0,0.18181818181818182,0.025252525252525252,False,empirical
vowel,0.1,default,198,198,11,0.9824561403508771,0.13636363636363635,0.8636363636363636,0.025252525252525252,0.0,0.1111111111111111,False,empirical
vowel,0.1,ensured,198,198,11,0.9931506849315068,0.26262626262626265,0.7373737373737373,0.0,0.17676767676767677,0.08585858585858586,False,empirical
wave,0.05,default,1000,1000,3,0.9363762102351314,0.277,0.723,0.0,0.277,0.0,False,empirical
wave,0.05,ensured,1000,1000,3,0.9363762102351314,0.277,0.723,0.0,0.277,0.0,False,empirical
wave,0.1,default,1000,1000,3,0.8932584269662921,0.11,0.89,0.0,0.11,0.0,False,empirical
wave,0.1,ensured,1000,1000,3,0.9146981627296588,0.238,0.762,0.0,0.199,0.039,False,empirical
whole,0.05,default,88,88,3,0.9,0.8863636363636364,0.11363636363636363,0.0,0.8863636363636364,0.0,False,empirical
