dataset,seed,epsilon,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined,accepted_accuracy_empirical
german,44,0.05,191,191,0.9633507853403142,0.9259492168389333,0.9851403491492364,False,False,0.7539267015706806,0.851063829787234,0.2094240837696335,40,47,True,0.851063829787234
german,44,0.1,191,191,0.9476439790575916,0.9058250505276932,0.9746109433181296,False,False,0.7172774869109948,0.8148148148148148,0.23036649214659685,44,54,True,0.8148148148148148
german,45,0.01,191,191,0.9947643979057592,0.9711758164173583,0.9998674548161852,False,False,0.9790575916230366,0.75,0.015706806282722512,3,4,True,0.75
german,45,0.05,191,191,0.9685863874345549,0.9328828605916799,0.9883862000045711,False,False,0.806282722513089,0.8378378378378378,0.16230366492146597,31,37,True,0.8378378378378378
german,45,0.1,191,191,0.9267015706806283,0.8800751798858689,0.9593496406123477,False,False,0.6701570680628273,0.7777777777777778,0.25654450261780104,49,63,True,0.7777777777777778
german,46,0.01,191,191,0.9947643979057592,0.9711758164173583,0.9998674548161852,False,False,0.8586387434554974,0.9629629629629629,0.13612565445026178,26,27,True,0.9629629629629629
german,46,0.05,191,191,0.9476439790575916,0.9058250505276932,0.9746109433181296,True,False,0.6649214659685864,0.84375,0.28272251308900526,54,64,True,0.84375
german,46,0.1,191,191,0.9319371727748691,0.8864226567352542,0.9632643458064425,False,False,0.6335078534031413,0.8142857142857143,0.29842931937172773,57,70,True,0.8142857142857143
haberman,42,0.01,57,57,1.0,0.9373325190855151,1.0,False,False,1.0,,0.0,0,0,False,
haberman,42,0.05,57,57,0.9473684210526315,0.8538009356894568,0.9890117441014127,True,False,0.7192982456140351,0.8125,0.22807017543859648,13,16,True,0.8125
haberman,42,0.1,57,57,0.9298245614035088,0.8299601800415137,0.9805495793052909,False,False,0.49122807017543857,0.8620689655172413,0.43859649122807015,25,29,True,0.8620689655172413
haberman,43,0.01,57,57,1.0,0.9373325190855151,1.0,False,False,1.0,,0.0,0,0,False,
haberman,43,0.05,57,57,0.9649122807017544,0.8789293368037981,0.995722105059521,False,False,0.7894736842105263,0.8333333333333334,0.17543859649122806,10,12,True,0.8333333333333334
haberman,43,0.1,57,57,0.8947368421052632,0.7848363951977577,0.9603784641499192,True,False,0.543859649122807,0.7692307692307693,0.3508771929824561,20,26,True,0.7692307692307693
haberman,44,0.01,57,57,1.0,0.9373325190855151,1.0,False,False,1.0,,0.0,0,0,False,
haberman,44,0.05,57,57,0.9649122807017544,0.8789293368037981,0.995722105059521,False,False,0.6666666666666666,0.8947368421052632,0.2982456140350877,17,19,True,0.8947368421052632
haberman,44,0.1,57,57,0.8771929824561403,0.7632050006375726,0.9491710598414328,True,False,0.43859649122807015,0.78125,0.43859649122807015,25,32,True,0.78125
haberman,45,0.01,57,57,1.0,0.9373325190855151,1.0,False,False,1.0,,0.0,0,0,False,
haberman,45,0.05,57,57,1.0,0.9373325190855151,1.0,False,False,0.9122807017543859,1.0,0.08771929824561403,5,5,True,1.0
haberman,45,0.1,57,57,0.9122807017543859,0.807042669430726,0.9709014171828977,False,False,0.5087719298245614,0.8214285714285714,0.40350877192982454,23,28,True,0.8214285714285714
haberman,46,0.01,57,57,1.0,0.9373325190855151,1.0,False,False,1.0,,0.0,0,0,False,
haberman,46,0.05,57,57,0.9298245614035088,0.8299601800415137,0.9805495793052909,True,False,0.6140350877192983,0.8181818181818182,0.3157894736842105,18,22,True,0.8181818181818182
haberman,46,0.1,57,57,0.8245614035087719,0.7009423405434915,0.9125267711897214,True,False,0.42105263157894735,0.696969696969697,0.40350877192982454,23,33,True,0.696969696969697
heartC,42,0.01,61,61,1.0,0.9413187760677074,1.0,False,False,1.0,,0.0,0,0,False,
heartC,42,0.05,61,61,0.9836065573770492,0.9120118770771849,0.9995850400870324,False,False,0.6065573770491803,0.9583333333333334,0.3770491803278688,23,24,True,0.9583333333333334
heartC,42,0.1,61,61,0.8852459016393442,0.7777507914635026,0.9525977428535836,True,False,0.2786885245901639,0.8409090909090909,0.6065573770491803,37,44,True,0.8409090909090909
heartC,43,0.01,61,61,1.0,0.9413187760677074,1.0,False,False,1.0,,0.0,0,0,False,
heartC,43,0.05,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.5737704918032787,0.9230769230769231,0.39344262295081966,24,26,True,0.9230769230769231
heartC,43,0.1,61,61,0.8852459016393442,0.7777507914635026,0.9525977428535836,True,False,0.29508196721311475,0.8372093023255814,0.5901639344262295,36,43,True,0.8372093023255814
heartC,44,0.01,61,61,1.0,0.9413187760677074,1.0,False,False,1.0,,0.0,0,0,False,
heartC,44,0.05,61,61,0.9344262295081968,0.8405310453594833,0.981845804024032,True,False,0.32786885245901637,0.9024390243902439,0.6065573770491803,37,41,True,0.9024390243902439
heartC,44,0.1,61,61,0.8852459016393442,0.7777507914635026,0.9525977428535836,True,False,0.26229508196721313,0.8444444444444444,0.6229508196721312,38,45,True,0.8444444444444444
heartC,45,0.01,61,61,1.0,0.9413187760677074,1.0,False,False,1.0,,0.0,0,0,False,
heartC,45,0.05,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.36065573770491804,0.9487179487179487,0.6065573770491803,37,39,True,0.9487179487179487
heartC,45,0.1,61,61,0.9016393442622951,0.7981038081456547,0.963040005122199,False,False,0.14754098360655737,0.8846153846153846,0.7540983606557377,46,52,True,0.8846153846153846
heartC,46,0.01,61,61,1.0,0.9413187760677074,1.0,False,False,1.0,,0.0,0,0,False,
heartC,46,0.05,61,61,1.0,0.9413187760677074,1.0,False,False,0.6557377049180327,1.0,0.3442622950819672,21,21,True,1.0
heartC,46,0.1,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.4262295081967213,0.9428571428571428,0.5409836065573771,33,35,True,0.9428571428571428
heartH,42,0.01,59,59,1.0,0.9393910990496601,1.0,False,False,1.0,,0.0,0,0,False,
heartH,42,0.05,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.1694915254237288,0.8571428571428571,0.711864406779661,42,49,True,0.8571428571428571
heartH,42,0.1,59,59,0.847457627118644,0.7300804081876087,0.927797572060018,True,False,0.1016949152542373,0.8301886792452831,0.7457627118644068,44,53,True,0.8301886792452831
heartH,43,0.01,59,59,1.0,0.9393910990496601,1.0,False,False,1.0,,0.0,0,0,False,
heartH,43,0.05,59,59,0.9661016949152542,0.8828515361116497,0.9958680670276936,False,False,0.3728813559322034,0.9459459459459459,0.5932203389830508,35,37,True,0.9459459459459459
heartH,43,0.1,59,59,0.9491525423728814,0.858512760524745,0.9893887196761202,False,False,0.3220338983050847,0.925,0.6271186440677966,37,40,True,0.925
heartH,44,0.01,59,59,1.0,0.9393910990496601,1.0,False,False,1.0,,0.0,0,0,False,
heartH,44,0.05,59,59,0.9152542372881356,0.8132056645283043,0.9719087432789866,True,False,0.3389830508474576,0.8717948717948718,0.576271186440678,34,39,True,0.8717948717948718
