dataset,probe,n_cal,epsilon,coverage,reject_rate,error_rate,violation,matched_count,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
colic,small_calibration,200,0.1,0.9027777777777778,0.125,0.11428571428571425,False,63,0.8888888888888888,0.7777777777777778,56,63,True
colic,small_calibration,200,0.25,0.7777777777777778,0.08333333333333333,0.18181818181818182,False,66,0.8484848484848485,0.7777777777777778,56,66,True
colic,extreme_confidence,72,0.010000000000000009,1.0,1.0,0.0,False,0,,0.0,0,0,False
colic,extreme_confidence,72,0.0050000000000000044,1.0,1.0,0.0,False,0,,0.0,0,0,False
creditA,small_calibration,10,0.05,1.0,1.0,0.0,False,0,,0.0,0,0,False
creditA,small_calibration,10,0.1,0.9202898550724637,0.4492753623188406,0.181578947368421,False,76,0.8552631578947368,0.47101449275362317,65,76,True
creditA,small_calibration,10,0.25,0.8840579710144928,0.10869565217391304,0.2804878048780488,False,123,0.8699186991869918,0.7753623188405797,107,123,True
creditA,small_calibration,20,0.05,0.9927536231884058,0.7246376811594203,0.1815789473684212,False,38,0.9736842105263158,0.26811594202898553,37,38,True
creditA,small_calibration,20,0.1,0.8985507246376812,0.13768115942028986,0.11596638655462183,True,119,0.8823529411764706,0.7608695652173914,105,119,True
creditA,small_calibration,20,0.25,0.6231884057971014,0.32608695652173914,0.0,True,93,0.9247311827956989,0.6231884057971014,86,93,True
creditA,small_calibration,50,0.05,0.9492753623188406,0.37681159420289856,0.08023255813953495,True,86,0.9186046511627907,0.572463768115942,79,86,True
creditA,small_calibration,50,0.1,0.7463768115942029,0.16666666666666666,0.0,True,115,0.8956521739130435,0.7463768115942029,103,115,True
creditA,small_calibration,50,0.25,0.7028985507246377,0.21739130434782608,0.041666666666666664,True,108,0.8981481481481481,0.7028985507246377,97,108,True
creditA,small_calibration,100,0.05,0.8913043478260869,0.15217391304347827,0.05897435897435902,True,117,0.8717948717948718,0.7391304347826086,102,117,True
creditA,small_calibration,100,0.1,0.8043478260869565,0.057971014492753624,0.04461538461538459,True,130,0.8538461538461538,0.8043478260869565,111,130,True
creditA,small_calibration,100,0.25,0.6086956521739131,0.32608695652173914,0.0,True,93,0.9032258064516129,0.6086956521739131,84,93,True
creditA,small_calibration,200,0.05,0.9057971014492754,0.1956521739130435,0.062162162162162214,True,111,0.8828828828828829,0.7101449275362319,98,111,True
creditA,small_calibration,200,0.1,0.855072463768116,0.028985507246376812,0.10298507462686565,True,134,0.8507462686567164,0.8260869565217391,114,134,True
creditA,small_calibration,200,0.25,0.6884057971014492,0.2536231884057971,0.0,True,103,0.9223300970873787,0.6884057971014492,95,103,True
creditA,extreme_confidence,138,0.010000000000000009,0.9927536231884058,0.9420289855072463,0.17250000000000015,False,8,0.875,0.050724637681159424,7,8,True
creditA,extreme_confidence,138,0.0050000000000000044,1.0,1.0,0.0,False,0,,0.0,0,0,False
