task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta
binary,iono,hinge,0.5,0.8428571428571429,1.0,0.042857142857142816
binary,iono,hinge,0.7,0.8428571428571429,1.0,0.042857142857142816
binary,iono,hinge,1.0,0.8428571428571429,1.0,0.042857142857142816
binary,iono,margin,0.3,0.0,,
binary,iono,margin,0.5,0.0,,
binary,iono,margin,0.7,0.8428571428571429,1.0,0.042857142857142816
binary,iono,margin,1.0,0.8428571428571429,1.0,0.042857142857142816
binary,iono,entropy,0.3,0.0,,
binary,iono,entropy,0.5,0.08571428571428572,1.0,0.042857142857142816
binary,iono,entropy,0.7,0.8428571428571429,1.0,0.042857142857142816
binary,iono,entropy,1.0,0.8428571428571429,1.0,0.042857142857142816
binary,iono,ensured,0.3,0.2857142857142857,1.0,0.042857142857142816
binary,iono,ensured,0.5,0.3,1.0,0.042857142857142816
binary,iono,ensured,0.7,0.8428571428571429,1.0,0.042857142857142816
binary,iono,ensured,1.0,0.8428571428571429,1.0,0.042857142857142816
binary,je4042,hinge,0.3,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,hinge,0.5,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,hinge,0.7,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,hinge,1.0,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,margin,0.3,0.0,,
binary,je4042,margin,0.5,0.0,,
binary,je4042,margin,0.7,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,margin,1.0,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,entropy,0.3,0.0,,
binary,je4042,entropy,0.5,0.1111111111111111,0.5,-0.2407407407407407
binary,je4042,entropy,0.7,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,entropy,1.0,0.5555555555555556,0.8,0.059259259259259345
binary,je4042,ensured,0.3,0.16666666666666666,0.6666666666666666,-0.07407407407407407
binary,je4042,ensured,0.5,0.2962962962962963,0.625,-0.1157407407407407
binary,je4042,ensured,0.7,0.2962962962962963,0.625,-0.1157407407407407
binary,je4042,ensured,1.0,0.5555555555555556,0.8,0.059259259259259345
binary,je4243,hinge,0.3,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,hinge,0.5,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,hinge,0.7,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,hinge,1.0,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,margin,0.3,0.0,,
binary,je4243,margin,0.5,0.0,,
binary,je4243,margin,0.7,0.3013698630136986,0.6363636363636364,0.01992528019925277
binary,je4243,margin,1.0,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,entropy,0.3,0.0,,
binary,je4243,entropy,0.5,0.0273972602739726,0.5,-0.11643835616438358
binary,je4243,entropy,0.7,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,entropy,1.0,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,je4243,ensured,0.3,0.1780821917808219,0.5384615384615384,-0.07797681770284515
binary,je4243,ensured,0.5,0.2054794520547945,0.6,-0.016438356164383605
binary,je4243,ensured,0.7,0.3150684931506849,0.5652173913043478,-0.0512209648600358
binary,je4243,ensured,1.0,0.2876712328767123,0.6666666666666666,0.05022831050228305
binary,kc1,hinge,0.3,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,hinge,0.5,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,hinge,0.7,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,hinge,1.0,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,margin,0.3,0.0,,
binary,kc1,margin,0.5,0.0,,
binary,kc1,margin,0.7,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,margin,1.0,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,entropy,0.3,0.05439330543933055,0.6923076923076923,-0.07338268426134542
binary,kc1,entropy,0.5,0.08368200836820083,0.75,-0.01569037656903771
binary,kc1,entropy,0.7,0.20920502092050208,0.76,-0.005690376569037703
