arm,strategy,dataset,seed,epsilon,confidence,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
C,experimental.difficulty_normalized,haberman,42,0.1,0.9,57,57,0.9649122807017544,0.8789293368037981,0.995722105059521,False,False,0.631578947368421,0.9047619047619048,0.3333333333333333,19,21,True
A,builtin.default,haberman,43,0.05,0.95,57,57,0.9649122807017544,0.8789293368037981,0.995722105059521,False,False,0.7894736842105263,0.8333333333333334,0.17543859649122806,10,12,True
C,experimental.difficulty_normalized,haberman,43,0.05,0.95,57,57,0.9122807017543859,0.807042669430726,0.9709014171828977,True,False,0.7719298245614035,0.6153846153846154,0.14035087719298245,8,13,True
A,builtin.default,haberman,43,0.1,0.9,57,57,0.8947368421052632,0.7848363951977577,0.9603784641499192,True,False,0.543859649122807,0.7692307692307693,0.3508771929824561,20,26,True
C,experimental.difficulty_normalized,haberman,43,0.1,0.9,57,57,0.8947368421052632,0.7848363951977577,0.9603784641499192,True,False,0.5789473684210527,0.75,0.3157894736842105,18,24,True
A,builtin.default,haberman,44,0.05,0.95,57,57,0.9649122807017544,0.8789293368037981,0.995722105059521,False,False,0.6666666666666666,0.8947368421052632,0.2982456140350877,17,19,True
C,experimental.difficulty_normalized,haberman,44,0.05,0.95,57,57,0.9473684210526315,0.8538009356894568,0.9890117441014127,True,False,0.6491228070175439,0.85,0.2982456140350877,17,20,True
A,builtin.default,haberman,44,0.1,0.9,57,57,0.8771929824561403,0.7632050006375726,0.9491710598414328,True,False,0.43859649122807015,0.78125,0.43859649122807015,25,32,True
C,experimental.difficulty_normalized,haberman,44,0.1,0.9,57,57,0.9122807017543859,0.807042669430726,0.9709014171828977,False,False,0.45614035087719296,0.8387096774193549,0.45614035087719296,26,31,True
A,builtin.default,haberman,45,0.05,0.95,57,57,1.0,0.9373325190855151,1.0,False,False,0.9122807017543859,1.0,0.08771929824561403,5,5,True
C,experimental.difficulty_normalized,haberman,45,0.05,0.95,57,57,0.9824561403508771,0.9060831581080891,0.9995559265598044,False,False,0.9122807017543859,0.8,0.07017543859649122,4,5,True
A,builtin.default,haberman,45,0.1,0.9,57,57,0.9122807017543859,0.807042669430726,0.9709014171828977,False,False,0.5087719298245614,0.8214285714285714,0.40350877192982454,23,28,True
C,experimental.difficulty_normalized,haberman,45,0.1,0.9,57,57,0.9649122807017544,0.8789293368037981,0.995722105059521,False,False,0.8070175438596491,0.8181818181818182,0.15789473684210525,9,11,True
A,builtin.default,haberman,46,0.05,0.95,57,57,0.9298245614035088,0.8299601800415137,0.9805495793052909,True,False,0.6140350877192983,0.8181818181818182,0.3157894736842105,18,22,True
C,experimental.difficulty_normalized,haberman,46,0.05,0.95,57,57,0.8421052631578947,0.7213173699312704,0.9251688307994875,True,True,0.43859649122807015,0.71875,0.40350877192982454,23,32,True
A,builtin.default,haberman,46,0.1,0.9,57,57,0.8245614035087719,0.7009423405434915,0.9125267711897214,True,False,0.42105263157894735,0.696969696969697,0.40350877192982454,23,33,True
C,experimental.difficulty_normalized,haberman,46,0.1,0.9,57,57,0.7894736842105263,0.661129942073339,0.8862097756836405,True,True,0.2982456140350877,0.7,0.49122807017543857,28,40,True
A,builtin.default,heartC,42,0.05,0.95,61,61,0.9836065573770492,0.9120118770771849,0.9995850400870324,False,False,0.6065573770491803,0.9583333333333334,0.3770491803278688,23,24,True
C,experimental.difficulty_normalized,heartC,42,0.05,0.95,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.639344262295082,0.9090909090909091,0.32786885245901637,20,22,True
A,builtin.default,heartC,42,0.1,0.9,61,61,0.8852459016393442,0.7777507914635026,0.9525977428535836,True,False,0.2786885245901639,0.8409090909090909,0.6065573770491803,37,44,True
C,experimental.difficulty_normalized,heartC,42,0.1,0.9,61,61,0.8524590163934426,0.7383119119980044,0.9302477020276048,True,False,0.26229508196721313,0.8,0.5901639344262295,36,45,True
A,builtin.default,heartC,43,0.05,0.95,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.5737704918032787,0.9230769230769231,0.39344262295081966,24,26,True
C,experimental.difficulty_normalized,heartC,43,0.05,0.95,61,61,0.9508196721311475,0.8629307780841057,0.9897406848316792,False,False,0.6065573770491803,0.875,0.3442622950819672,21,24,True
A,builtin.default,heartC,43,0.1,0.9,61,61,0.8852459016393442,0.7777507914635026,0.9525977428535836,True,False,0.29508196721311475,0.8372093023255814,0.5901639344262295,36,43,True
C,experimental.difficulty_normalized,heartC,43,0.1,0.9,61,61,0.8524590163934426,0.7383119119980044,0.9302477020276048,True,False,0.2459016393442623,0.8043478260869565,0.6065573770491803,37,46,True
A,builtin.default,heartC,44,0.05,0.95,61,61,0.9344262295081968,0.8405310453594833,0.981845804024032,True,False,0.32786885245901637,0.9024390243902439,0.6065573770491803,37,41,True
C,experimental.difficulty_normalized,heartC,44,0.05,0.95,61,61,0.8688524590163934,0.7578413113166378,0.9416394941605062,True,True,0.26229508196721313,0.8222222222222222,0.6065573770491803,37,45,True
A,builtin.default,heartC,44,0.1,0.9,61,61,0.8852459016393442,0.7777507914635026,0.9525977428535836,True,False,0.26229508196721313,0.8444444444444444,0.6229508196721312,38,45,True
C,experimental.difficulty_normalized,heartC,44,0.1,0.9,61,61,0.819672131147541,0.700213622732008,0.9063902302056503,True,False,0.19672131147540983,0.7755102040816326,0.6229508196721312,38,49,True
A,builtin.default,heartC,45,0.05,0.95,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.36065573770491804,0.9487179487179487,0.6065573770491803,37,39,True
C,experimental.difficulty_normalized,heartC,45,0.05,0.95,61,61,0.9508196721311475,0.8629307780841057,0.9897406848316792,False,False,0.4098360655737705,0.9166666666666666,0.5409836065573771,33,36,True
A,builtin.default,heartC,45,0.1,0.9,61,61,0.9016393442622951,0.7981038081456547,0.963040005122199,False,False,0.14754098360655737,0.8846153846153846,0.7540983606557377,46,52,True
C,experimental.difficulty_normalized,heartC,45,0.1,0.9,61,61,0.9016393442622951,0.7981038081456547,0.963040005122199,False,False,0.19672131147540983,0.8775510204081632,0.7049180327868853,43,49,True
A,builtin.default,heartC,46,0.05,0.95,61,61,1.0,0.9413187760677074,1.0,False,False,0.6557377049180327,1.0,0.3442622950819672,21,21,True
C,experimental.difficulty_normalized,heartC,46,0.05,0.95,61,61,0.9836065573770492,0.9120118770771849,0.9995850400870324,False,False,0.5737704918032787,0.9615384615384616,0.4098360655737705,25,26,True
A,builtin.default,heartC,46,0.1,0.9,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.4262295081967213,0.9428571428571428,0.5409836065573771,33,35,True
C,experimental.difficulty_normalized,heartC,46,0.1,0.9,61,61,0.9672131147540983,0.8865278328116603,0.9960043968327476,False,False,0.29508196721311475,0.9534883720930233,0.6721311475409836,41,43,True
A,builtin.default,heartH,42,0.05,0.95,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.1694915254237288,0.8571428571428571,0.711864406779661,42,49,True
C,experimental.difficulty_normalized,heartH,42,0.05,0.95,59,59,0.8983050847457628,0.7916804508244137,0.9617555070892884,True,False,0.3050847457627119,0.8536585365853658,0.5932203389830508,35,41,True
A,builtin.default,heartH,42,0.1,0.9,59,59,0.847457627118644,0.7300804081876087,0.927797572060018,True,False,0.1016949152542373,0.8301886792452831,0.7457627118644068,44,53,True
C,experimental.difficulty_normalized,heartH,42,0.1,0.9,59,59,0.8305084745762712,0.7103115436261416,0.9156098489247753,True,False,0.1016949152542373,0.8113207547169812,0.7288135593220338,43,53,True
A,builtin.default,heartH,43,0.05,0.95,59,59,0.9661016949152542,0.8828515361116497,0.9958680670276936,False,False,0.3728813559322034,0.9459459459459459,0.5932203389830508,35,37,True
