task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
binary,heartC,default,1.0,0.39344262295081966,0.9583333333333334,0.18784153005464488,0.9583333333333334,0.3770491803278688,23,24,True
binary,heartC,ensured,0.3,0.09836065573770492,0.8333333333333334,0.06284153005464488,0.8333333333333334,0.08196721311475409,5,6,True
binary,heartC,ensured,0.5,0.19672131147540983,0.9166666666666666,0.14617486338797814,0.9166666666666666,0.18032786885245902,11,12,True
binary,heartC,ensured,0.7,0.19672131147540983,0.9166666666666666,0.14617486338797814,0.9166666666666666,0.18032786885245902,11,12,True
binary,heartC,ensured,1.0,0.39344262295081966,0.9583333333333334,0.18784153005464488,0.9583333333333334,0.3770491803278688,23,24,True
binary,heartH,default,0.3,0.8305084745762712,0.8571428571428571,0.060532687651331685,0.8571428571428571,0.711864406779661,42,49,True
binary,heartH,default,0.5,0.8305084745762712,0.8571428571428571,0.060532687651331685,0.8571428571428571,0.711864406779661,42,49,True
binary,heartH,default,0.7,0.8305084745762712,0.8571428571428571,0.060532687651331685,0.8571428571428571,0.711864406779661,42,49,True
binary,heartH,default,1.0,0.8305084745762712,0.8571428571428571,0.060532687651331685,0.8571428571428571,0.711864406779661,42,49,True
binary,heartH,ensured,0.3,0.03389830508474576,1.0,0.2033898305084746,1.0,0.03389830508474576,2,2,True
binary,heartH,ensured,0.5,0.11864406779661017,0.8571428571428571,0.060532687651331685,0.8571428571428571,0.1016949152542373,6,7,True
binary,heartH,ensured,0.7,0.4576271186440678,0.8888888888888888,0.09227871939736343,0.8888888888888888,0.4067796610169492,24,27,True
binary,heartH,ensured,1.0,0.8305084745762712,0.8571428571428571,0.060532687651331685,0.8571428571428571,0.711864406779661,42,49,True
binary,heartS,default,0.3,0.7222222222222222,0.7692307692307693,0.028490028490028574,0.7692307692307693,0.5555555555555556,30,39,True
binary,heartS,default,0.5,0.7222222222222222,0.7692307692307693,0.028490028490028574,0.7692307692307693,0.5555555555555556,30,39,True
binary,heartS,default,0.7,0.7222222222222222,0.7692307692307693,0.028490028490028574,0.7692307692307693,0.5555555555555556,30,39,True
binary,heartS,default,1.0,0.7222222222222222,0.7692307692307693,0.028490028490028574,0.7692307692307693,0.5555555555555556,30,39,True
binary,heartS,ensured,0.3,0.35185185185185186,0.7894736842105263,0.04873294346978563,0.7894736842105263,0.2777777777777778,15,19,True
binary,heartS,ensured,0.5,0.37037037037037035,0.8,0.059259259259259345,0.8,0.2962962962962963,16,20,True
binary,heartS,ensured,0.7,0.37037037037037035,0.8,0.059259259259259345,0.8,0.2962962962962963,16,20,True
binary,heartS,ensured,1.0,0.7222222222222222,0.7692307692307693,0.028490028490028574,0.7692307692307693,0.5555555555555556,30,39,True
binary,hepati,default,0.3,0.3225806451612903,1.0,0.09677419354838712,1.0,0.3225806451612903,10,10,True
binary,hepati,default,0.5,0.3225806451612903,1.0,0.09677419354838712,1.0,0.3225806451612903,10,10,True
binary,hepati,default,0.7,0.3225806451612903,1.0,0.09677419354838712,1.0,0.3225806451612903,10,10,True
binary,hepati,default,1.0,0.3225806451612903,1.0,0.09677419354838712,1.0,0.3225806451612903,10,10,True
binary,hepati,ensured,0.3,0.0967741935483871,0.6666666666666666,-0.23655913978494625,0.6666666666666666,0.06451612903225806,2,3,True
binary,hepati,ensured,0.5,0.0967741935483871,0.6666666666666666,-0.23655913978494625,0.6666666666666666,0.06451612903225806,2,3,True
binary,hepati,ensured,0.7,0.16129032258064516,0.8,-0.10322580645161283,0.8,0.12903225806451613,4,5,True
binary,hepati,ensured,1.0,0.3225806451612903,1.0,0.09677419354838712,1.0,0.3225806451612903,10,10,True
binary,iono,default,0.3,0.8428571428571429,1.0,0.042857142857142816,1.0,0.8428571428571429,59,59,True
binary,iono,default,0.5,0.8428571428571429,1.0,0.042857142857142816,1.0,0.8428571428571429,59,59,True
binary,iono,default,0.7,0.8428571428571429,1.0,0.042857142857142816,1.0,0.8428571428571429,59,59,True
binary,iono,default,1.0,0.8428571428571429,1.0,0.042857142857142816,1.0,0.8428571428571429,59,59,True
binary,iono,ensured,0.3,0.2857142857142857,1.0,0.042857142857142816,1.0,0.2857142857142857,20,20,True
binary,iono,ensured,0.5,0.3,1.0,0.042857142857142816,1.0,0.3,21,21,True
binary,iono,ensured,0.7,0.8428571428571429,1.0,0.042857142857142816,1.0,0.8428571428571429,59,59,True
binary,iono,ensured,1.0,0.8428571428571429,1.0,0.042857142857142816,1.0,0.8428571428571429,59,59,True
binary,je4042,default,0.3,0.5555555555555556,0.8,0.059259259259259345,0.8,0.4444444444444444,24,30,True
binary,je4042,default,0.5,0.5555555555555556,0.8,0.059259259259259345,0.8,0.4444444444444444,24,30,True
binary,je4042,default,0.7,0.5555555555555556,0.8,0.059259259259259345,0.8,0.4444444444444444,24,30,True
binary,je4042,default,1.0,0.5555555555555556,0.8,0.059259259259259345,0.8,0.4444444444444444,24,30,True
binary,je4042,ensured,0.3,0.16666666666666666,0.6666666666666666,-0.07407407407407407,0.6666666666666666,0.1111111111111111,6,9,True
binary,je4042,ensured,0.5,0.2962962962962963,0.625,-0.1157407407407407,0.625,0.18518518518518517,10,16,True
binary,je4042,ensured,0.7,0.2962962962962963,0.625,-0.1157407407407407,0.625,0.18518518518518517,10,16,True
binary,je4042,ensured,1.0,0.5555555555555556,0.8,0.059259259259259345,0.8,0.4444444444444444,24,30,True
binary,je4243,default,0.3,0.2876712328767123,0.6666666666666666,0.05022831050228305,0.6666666666666666,0.1917808219178082,14,21,True
