dataset,confidence,method,difficulty_estimator,requested_reject_rate,empirical_reject_rate,accepted_coverage,accepted_interval_width,accepted_mae,accepted_mse,interval_coverage_all,mse_all,guarantee_status
concreate,0.95,value_bin_width_baseline,predicted_value_bins,,0.1650485436893204,0.8837209302325582,0.23436046229982035,0.047742196698702416,0.004676326954689058,0.883495145631068,0.00515064484921426,heuristic
cooling,0.95,paper_difficulty_mondrian,default,0.1,0.11688311688311688,0.9411764705882353,0.18847509040529253,0.025977744357402948,0.002384703332772773,0.948051948051948,0.0028806430958936806,target_formal_result
cooling,0.95,paper_difficulty_mondrian,default,0.2,0.2077922077922078,0.9508196721311475,0.18318645215575347,0.0212502122188143,0.0018577465136672344,0.948051948051948,0.0028806430958936806,target_formal_result
cooling,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.2597402597402597,0.9649122807017544,0.18094688109282514,0.01717247400737612,0.0012571899757690829,0.948051948051948,0.0028806430958936806,target_formal_result
cooling,0.95,paper_difficulty_mondrian,default,0.4,0.38311688311688313,0.9894736842105263,0.1778010968331187,0.009720528327842448,0.0002763508986235854,0.948051948051948,0.0028806430958936806,target_formal_result
cooling,0.95,paper_difficulty_mondrian,default,0.5,0.487012987012987,1.0,0.1762906842536879,0.007222071338513877,9.413035092451764e-05,0.948051948051948,0.0028806430958936806,target_formal_result
cooling,0.95,threshold_baseline,none,0.1,0.032467532467532464,0.8657718120805369,0.18593960636290116,0.03007587656362803,0.002679904964474029,0.8701298701298701,0.002594157273007032,heuristic
cooling,0.95,threshold_baseline,none,0.2,0.025974025974025976,0.8666666666666667,0.163147499775563,0.03132453541610558,0.00232691964558334,0.8701298701298701,0.002271567068384436,heuristic
cooling,0.95,threshold_baseline,none,0.30000000000000004,0.01948051948051948,0.794701986754967,0.143428147748719,0.034142809061188176,0.0026449862802839868,0.7987012987012987,0.0025950013044582663,heuristic
cooling,0.95,threshold_baseline,none,0.4,0.045454545454545456,0.9115646258503401,0.1600457850794497,0.02379493542636562,0.0015897459780502424,0.9155844155844156,0.0015179664126225424,heuristic
cooling,0.95,threshold_baseline,none,0.5,0.09090909090909091,0.8857142857142857,0.17198805996947675,0.02958357380118759,0.002650597292747231,0.8636363636363636,0.0027847783036640955,heuristic
cooling,0.95,value_bin_width_baseline,predicted_value_bins,,0.525974025974026,0.9315068493150684,0.05881913875479011,0.007292090587434379,0.00010074129179452581,0.948051948051948,0.0031001296256691776,heuristic
cooling,0.95,value_bin_width_baseline,predicted_value_bins,,0.42207792207792205,0.898876404494382,0.06651553709947614,0.013411651727246052,0.0006551693776903077,0.922077922077922,0.003207055627826209,heuristic
friedm,0.95,paper_difficulty_mondrian,default,0.1,0.1375,0.8840579710144928,0.2433102716704942,0.060069376358054344,0.00597732266152586,0.8958333333333334,0.006323164401236048,target_formal_result
friedm,0.95,paper_difficulty_mondrian,default,0.2,0.30416666666666664,0.874251497005988,0.22871310685088309,0.05792463299251004,0.005596560157890516,0.8958333333333334,0.006323164401236048,target_formal_result
