seed,model,n_dim,method,significance,metric,value
0,rf,2,guarded,0.2,candidate_violation_auroc,0.9575188252980197
0,rf,2,random_pruned_multibin,0.2,representative_violation_rate,0.002352941176470588
0,rf,2,random_pruned_multibin,0.2,rule_count,1.7
0,rf,2,random_pruned_multibin,0.2,candidate_violation_auroc,
0,rf,10,standard,0.01,representative_violation_rate,0.023162134944612285
0,rf,10,standard,0.01,rule_count,8.946
0,rf,10,standard,0.01,candidate_violation_auroc,
0,rf,10,multibin_noguard,0.01,representative_violation_rate,0.002
0,rf,10,multibin_noguard,0.01,rule_count,9.616
0,rf,10,multibin_noguard,0.01,candidate_violation_auroc,0.8664739680087656
0,rf,10,guarded,0.01,representative_violation_rate,0.0020100502512562816
0,rf,10,guarded,0.01,rule_count,9.248
0,rf,10,guarded,0.01,candidate_violation_auroc,0.8664739680087656
0,rf,10,random_pruned_multibin,0.01,representative_violation_rate,0.0020920502092050207
0,rf,10,random_pruned_multibin,0.01,rule_count,9.248
0,rf,10,random_pruned_multibin,0.01,candidate_violation_auroc,
0,rf,10,standard,0.05,representative_violation_rate,0.023162134944612285
0,rf,10,standard,0.05,rule_count,8.946
0,rf,10,standard,0.05,candidate_violation_auroc,
0,rf,10,multibin_noguard,0.05,representative_violation_rate,0.002
0,rf,10,multibin_noguard,0.05,rule_count,9.616
0,rf,10,multibin_noguard,0.05,candidate_violation_auroc,0.8664739680087656
0,rf,10,guarded,0.05,representative_violation_rate,0.0021390374331550803
0,rf,10,guarded,0.05,rule_count,8.238
0,rf,10,guarded,0.05,candidate_violation_auroc,0.8664739680087656
0,rf,10,random_pruned_multibin,0.05,representative_violation_rate,0.002372479240806643
0,rf,10,random_pruned_multibin,0.05,rule_count,8.238
0,rf,10,random_pruned_multibin,0.05,candidate_violation_auroc,
0,rf,10,standard,0.1,representative_violation_rate,0.023162134944612285
0,rf,10,standard,0.1,rule_count,8.946
0,rf,10,standard,0.1,candidate_violation_auroc,
0,rf,10,multibin_noguard,0.1,representative_violation_rate,0.002
0,rf,10,multibin_noguard,0.1,rule_count,9.616
0,rf,10,multibin_noguard,0.1,candidate_violation_auroc,0.8664739680087656
0,rf,10,guarded,0.1,representative_violation_rate,0.002277904328018223
0,rf,10,guarded,0.1,rule_count,7.534
0,rf,10,guarded,0.1,candidate_violation_auroc,0.8664739680087656
0,rf,10,random_pruned_multibin,0.1,representative_violation_rate,0.002574002574002574
0,rf,10,random_pruned_multibin,0.1,rule_count,7.534
0,rf,10,random_pruned_multibin,0.1,candidate_violation_auroc,
0,rf,10,standard,0.2,representative_violation_rate,0.023162134944612285
0,rf,10,standard,0.2,rule_count,8.946
0,rf,10,standard,0.2,candidate_violation_auroc,
0,rf,10,multibin_noguard,0.2,representative_violation_rate,0.002
0,rf,10,multibin_noguard,0.2,rule_count,9.616
0,rf,10,multibin_noguard,0.2,candidate_violation_auroc,0.8664739680087656
0,rf,10,guarded,0.2,representative_violation_rate,0.0
0,rf,10,guarded,0.2,rule_count,6.17
0,rf,10,guarded,0.2,candidate_violation_auroc,0.8664739680087656
0,rf,10,random_pruned_multibin,0.2,representative_violation_rate,0.0031645569620253164
0,rf,10,random_pruned_multibin,0.2,rule_count,6.17
0,rf,10,random_pruned_multibin,0.2,candidate_violation_auroc,
1,logreg,2,standard,0.01,representative_violation_rate,0.02
1,logreg,2,standard,0.01,rule_count,2.0
1,logreg,2,standard,0.01,candidate_violation_auroc,
1,logreg,2,multibin_noguard,0.01,representative_violation_rate,0.002
1,logreg,2,multibin_noguard,0.01,rule_count,2.0
1,logreg,2,multibin_noguard,0.01,candidate_violation_auroc,0.9662666070445503
1,logreg,2,guarded,0.01,representative_violation_rate,0.00101010101010101
1,logreg,2,guarded,0.01,rule_count,1.98
1,logreg,2,guarded,0.01,candidate_violation_auroc,0.9662666070445503
1,logreg,2,random_pruned_multibin,0.01,representative_violation_rate,0.00202020202020202
1,logreg,2,random_pruned_multibin,0.01,rule_count,1.98
1,logreg,2,random_pruned_multibin,0.01,candidate_violation_auroc,
1,logreg,2,standard,0.05,representative_violation_rate,0.02
1,logreg,2,standard,0.05,rule_count,2.0
1,logreg,2,standard,0.05,candidate_violation_auroc,
1,logreg,2,multibin_noguard,0.05,representative_violation_rate,0.002
1,logreg,2,multibin_noguard,0.05,rule_count,2.0
1,logreg,2,multibin_noguard,0.05,candidate_violation_auroc,0.9662666070445503
1,logreg,2,guarded,0.05,representative_violation_rate,0.00102880658436214
1,logreg,2,guarded,0.05,rule_count,1.944
1,logreg,2,guarded,0.05,candidate_violation_auroc,0.9662666070445503
1,logreg,2,random_pruned_multibin,0.05,representative_violation_rate,0.00205761316872428
1,logreg,2,random_pruned_multibin,0.05,rule_count,1.944
1,logreg,2,random_pruned_multibin,0.05,candidate_violation_auroc,
1,logreg,2,standard,0.1,representative_violation_rate,0.02
1,logreg,2,standard,0.1,rule_count,2.0
1,logreg,2,standard,0.1,candidate_violation_auroc,
1,logreg,2,multibin_noguard,0.1,representative_violation_rate,0.002
1,logreg,2,multibin_noguard,0.1,rule_count,2.0
1,logreg,2,multibin_noguard,0.1,candidate_violation_auroc,0.9662666070445503
1,logreg,2,guarded,0.1,representative_violation_rate,0.0
1,logreg,2,guarded,0.1,rule_count,1.886
1,logreg,2,guarded,0.1,candidate_violation_auroc,0.9662666070445503
1,logreg,2,random_pruned_multibin,0.1,representative_violation_rate,0.0021208907741251328
1,logreg,2,random_pruned_multibin,0.1,rule_count,1.886
1,logreg,2,random_pruned_multibin,0.1,candidate_violation_auroc,
1,logreg,2,standard,0.2,representative_violation_rate,0.02
1,logreg,2,standard,0.2,rule_count,2.0
1,logreg,2,standard,0.2,candidate_violation_auroc,
1,logreg,2,multibin_noguard,0.2,representative_violation_rate,0.002
1,logreg,2,multibin_noguard,0.2,rule_count,2.0
1,logreg,2,multibin_noguard,0.2,candidate_violation_auroc,0.9662666070445503
1,logreg,2,guarded,0.2,representative_violation_rate,0.0
1,logreg,2,guarded,0.2,rule_count,1.592
1,logreg,2,guarded,0.2,candidate_violation_auroc,0.9662666070445503
1,logreg,2,random_pruned_multibin,0.2,representative_violation_rate,0.002512562814070352
1,logreg,2,random_pruned_multibin,0.2,rule_count,1.592
1,logreg,2,random_pruned_multibin,0.2,candidate_violation_auroc,
1,logreg,10,standard,0.01,representative_violation_rate,0.033
1,logreg,10,standard,0.01,rule_count,9.274
1,logreg,10,standard,0.01,candidate_violation_auroc,
1,logreg,10,multibin_noguard,0.01,representative_violation_rate,0.002004008016032064
1,logreg,10,multibin_noguard,0.01,rule_count,9.692
1,logreg,10,multibin_noguard,0.01,candidate_violation_auroc,0.8743526998016251
1,logreg,10,guarded,0.01,representative_violation_rate,0.0010214504596527069
1,logreg,10,guarded,0.01,rule_count,9.322
1,logreg,10,guarded,0.01,candidate_violation_auroc,0.8743526998016251
1,logreg,10,random_pruned_multibin,0.01,representative_violation_rate,0.0020639834881320948
1,logreg,10,random_pruned_multibin,0.01,rule_count,9.322
1,logreg,10,random_pruned_multibin,0.01,candidate_violation_auroc,
1,logreg,10,standard,0.05,representative_violation_rate,0.033
1,logreg,10,standard,0.05,rule_count,9.274
1,logreg,10,standard,0.05,candidate_violation_auroc,
1,logreg,10,multibin_noguard,0.05,representative_violation_rate,0.002004008016032064
1,logreg,10,multibin_noguard,0.05,rule_count,9.692
1,logreg,10,multibin_noguard,0.05,candidate_violation_auroc,0.8743526998016251
1,logreg,10,guarded,0.05,representative_violation_rate,0.0010822510822510823
1,logreg,10,guarded,0.05,rule_count,8.6
1,logreg,10,guarded,0.05,candidate_violation_auroc,0.8743526998016251
1,logreg,10,random_pruned_multibin,0.05,representative_violation_rate,0.0022598870056497176
1,logreg,10,random_pruned_multibin,0.05,rule_count,8.6
1,logreg,10,random_pruned_multibin,0.05,candidate_violation_auroc,
