file,line,name,type,category,pattern,message
tests\unit\test_utils_deprecations.py,74,_EMITTED,attribute,Category B: Test Utilities (Likely),Pattern 2 (Test Utility Fix),Could not find definition in analysis data.
tests\unit\test_utils_deprecations.py,53,_EMITTED_PER_TEST,attribute,Category B: Test Utilities (Likely),Pattern 2 (Test Utility Fix),Could not find definition in analysis data.
tests\unit\test_utils_deprecations.py,72,_EMITTED_PER_TEST,attribute,Category B: Test Utilities (Likely),Pattern 2 (Test Utility Fix),Could not find definition in analysis data.
tests\unit\api\test_config_builder.py,89,_perf_factory,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\api\config.py
tests\unit\core\test_calibrated_explainer_additional.py,572,_sequential_plugin,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\explain\parallel_instance.py
tests\unit\core\test_calibrated_explainer_lime.py,105,_predict,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\integrations\shap.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,30,_fast_interval_plugin_override,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,39,_pyproject_explanations,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,40,_pyproject_intervals,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,41,_pyproject_plots,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,530,_interval_plugin_override,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,557,_CalibratedExplainer__noise_type,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\prediction\test_orchestrator_coverage.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,611,_CalibratedExplainer__fast,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\calibrated_explainer.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,131,_pyproject_intervals,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,132,_pyproject_plots,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\plugins\manager.py
tests\unit\core\test_calibrated_explainer_runtime_helpers.py,222,_CalibratedExplainer__initialize_interval_learner_for_fast_explainer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\calibrated_explainer.py
tests\unit\core\test_calibration_helpers.py,83,_initialized,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\test_calibration_helpers.py
tests\unit\core\test_calibration_helpers.py,87,_initialized,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\test_calibration_helpers.py
tests\unit\core\test_calibration_helpers.py,91,_initialized,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\test_calibration_helpers.py
tests\unit\core\test_instance_parallel.py,126,_plugin_manager,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\calibrated_explainer.py
tests\unit\core\test_instance_parallel.py,130,_plugin_manager,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\calibrated_explainer.py
tests\unit\core\test_instance_parallel.py,134,_plugin_manager,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\calibrated_explainer.py
tests\unit\core\test_interval_regressor.py,521,_y_cal_hat_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,530,_bins_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,182,_append_calibration_buffer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,190,_append_bins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,522,_append_calibration_buffer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,524,_y_cal_hat_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,529,_bins_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,531,_append_bins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,533,_bins_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,541,_append_calibration_buffer,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,543,_y_cal_hat_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,547,_append_bins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,548,_append_bins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,550,_bins_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,659,_append_bins,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,662,_bins_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,663,_bins_size,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,670,_ensure_capacity,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,173,_residual_cal_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,174,_sigma_cal_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,217,_bins_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,534,_bins_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,551,_bins_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,652,_residual_cal_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_interval_regressor.py,653,_sigma_cal_storage,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\calibration\interval_regressor.py
tests\unit\core\test_parallel_benchmark.py,32,_parallel_executor,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\test_parallel_benchmark.py
tests\unit\core\test_parallel_benchmark.py,37,_parallel_executor,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\test_parallel_benchmark.py
tests\unit\core\test_parallel_benchmark.py,41,_parallel_executor,attribute,Category B: Test Utilities,Pattern 2 (Test Utility Fix),Defined in unit\core\test_parallel_benchmark.py
tests\unit\core\test_schema_payload_validation.py,20,_schema_json,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\schema\validation.py
tests\unit\core\test_schema_payload_validation.py,30,_schema_json,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\schema\validation.py
